Id,Parent,Label
1,0,Animals
2,0,Food
3,0,Education
4,0,Clothing
5,1,Birds
6,1,Reptiles
7,1,Fish
8,1,Amphibian
9,5,Eagle
10,5,Seagull
11,5,Parrot
12,5,Owl
13,6,Snakes
14,6,Turtle
15,6,Lizard
16,6,Crocodile
17,7,Guppy
18,7,Goldfish
19,7,Tench
20,7,Zander
21,8,Newt
22,8,Frog
23,8,Caecilian
24,8,Salamander
25,2,Grains
26,2,Fruits
27,2,Vegetable
28,2,Dairy
29,25,Barley
30,25,Teff
31,25,Millet
32,25,Oatmeal
33,26,Apple
34,26,Pear
35,26,Orange
36,26,Grapes
37,27,Lettuce
38,27,Spinach
39,27,Cabbage
40,27,Potato
41,28,Ghee
42,28,Smen
43,28,Kefir
44,28,Curds
45,3,Chemistry
46,3,Physics
47,3,Math
48,3,Economics
49,45,Kasha
50,45,Lamm
51,45,Langmuir
52,45,Nernst
53,46,Ampere
54,46,Birch
55,46,Gauss
56,46,Byerlee
57,47,Benford
58,47,Dirac
59,47,Godel
60,47,Hilbert
61,48,Keynesian
62,48,Marxism
63,48,Solow
64,48,Laffer
65,4,Tops
66,4,Bottoms
67,4,Outerwear
68,4,Shoes
69,65,T-Shirt
70,65,Henley
71,65,Shirts
72,65,Flannel
73,66,Jeans
74,66,Leggings
75,66,Tights
76,66,Skirts
77,67,Coat
78,67,Jacket
79,67,Sweaters
80,67,Cardigans
81,68,Sneakers
82,68,Boat Shoe
83,68,Brogues
84,68,Sandals
