Condition,Ordering,Menu Type,Menu Breadth,Menu Depth
1,1,Radial,2,1
2,1,Radial,2,2
3,1,Radial,2,3
4,1,Radial,4,1
5,1,Radial,4,2
6,1,Radial,4,3
7,1,Radial,6,1
8,1,Radial,6,2
9,1,Radial,6,3
10,1,Marking,2,1
11,1,Marking,2,2
12,1,Marking,2,3
13,1,Marking,4,1
14,1,Marking,4,2
15,1,Marking,4,3
16,1,Marking,6,1
17,1,Marking,6,2
18,1,Marking,6,3
1,2,Marking,2,1
2,2,Marking,2,2
3,2,Marking,2,3
4,2,Marking,4,1
5,2,Marking,4,2
6,2,Marking,4,3
7,2,Marking,6,1
8,2,Marking,6,2
9,2,Marking,6,3
10,2,Radial,2,1
11,2,Radial,2,2
12,2,Radial,2,3
13,2,Radial,4,1
14,2,Radial,4,2
15,2,Radial,4,3
16,2,Radial,6,1
17,2,Radial,6,2
18,2,Radial,6,3
